GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SkiStationProject,tn.esprit.SkiStationProject.entities,Registration,55,3,0,0,6,1,8,1,8,1
SkiStationProject,tn.esprit.SkiStationProject.entities,Piste,53,3,0,0,7,1,11,1,11,1
SkiStationProject,tn.esprit.SkiStationProject.entities,Instructor,7,39,0,0,1,6,2,8,2,8
SkiStationProject,tn.esprit.SkiStationProject.entities,Course,63,3,0,0,8,1,13,1,13,1
SkiStationProject,tn.esprit.SkiStationProject.entities,BaseEntity,6,6,0,0,1,2,1,2,1,2
SkiStationProject,tn.esprit.SkiStationProject.entities,Subscription,70,3,0,0,7,1,10,1,10,1
SkiStationProject,tn.esprit.SkiStationProject.entities,Skier,73,3,0,0,9,1,15,1,15,1
SkiStationProject,tn.esprit.SkiStationProject,SkiStationProjectApplication,5,3,0,0,2,1,1,1,1,1
SkiStationProject,tn.esprit.SkiStationProject.configurations,OpenAPIConfig,0,52,0,0,0,15,0,5,0,5
SkiStationProject,tn.esprit.SkiStationProject.aspects,PerformenceAspect,0,31,0,0,0,9,0,3,0,3
SkiStationProject,tn.esprit.SkiStationProject.aspects,LoggingAspects,0,37,0,0,0,8,0,4,0,4
SkiStationProject,tn.esprit.SkiStationProject.controllers,RegistrationRestController,25,6,0,0,4,1,4,1,4,1
SkiStationProject,tn.esprit.SkiStationProject.controllers,InstructorRestController,40,6,2,0,9,1,7,1,6,1
SkiStationProject,tn.esprit.SkiStationProject.controllers,SubscriptionRestController,26,6,0,0,5,1,5,1,5,1
SkiStationProject,tn.esprit.SkiStationProject.controllers,SkierRestController,42,6,0,0,9,1,8,1,8,1
SkiStationProject,tn.esprit.SkiStationProject.controllers,CourseRestController,19,6,0,0,4,1,4,1,4,1
SkiStationProject,tn.esprit.SkiStationProject.controllers,PisteRestController,19,6,0,0,5,1,4,1,4,1
SkiStationProject,tn.esprit.SkiStationProject.services,RegistrationServicesImpl,264,19,13,0,50,2,14,2,7,2
SkiStationProject,tn.esprit.SkiStationProject.services,CourseServicesImpl,24,6,0,0,4,1,4,1,4,1
SkiStationProject,tn.esprit.SkiStationProject.services,PisteServicesImpl,23,6,0,0,5,1,4,1,4,1
SkiStationProject,tn.esprit.SkiStationProject.services,SkierServicesImpl,180,18,6,0,34,1,13,1,9,1
SkiStationProject,tn.esprit.SkiStationProject.services,SubscriptionServicesImpl,135,13,6,0,22,2,11,2,7,2
SkiStationProject,tn.esprit.SkiStationProject.services,InstructorServicesImpl,35,41,1,1,7,8,3,5,2,5
SkiStationProject,tn.esprit.SkiStationProject.entities.enums,TypeSubscription,0,21,0,0,0,2,0,1,0,1
SkiStationProject,tn.esprit.SkiStationProject.entities.enums,TypeCourse,0,21,0,0,0,2,0,1,0,1
SkiStationProject,tn.esprit.SkiStationProject.entities.enums,Support,0,15,0,0,0,2,0,1,0,1
SkiStationProject,tn.esprit.SkiStationProject.entities.enums,Color,0,27,0,0,0,2,0,1,0,1
